state,district,commodity,forecast_month_1m,forecast_price_1m,lower_bound_1m,upper_bound_1m,price_change_pct_1m,market_signal_1m,uncertainty_level_1m,weather_risk_level_1m,weather_disruption_score_1m,weather_data_status_1m,forecast_month_2m,forecast_price_2m,lower_bound_2m,upper_bound_2m,price_change_pct_2m,market_signal_2m,uncertainty_level_2m,weather_risk_level_2m,weather_disruption_score_2m,weather_data_status_2m,forecast_month_3m,forecast_price_3m,lower_bound_3m,upper_bound_3m,price_change_pct_3m,market_signal_3m,uncertainty_level_3m,weather_risk_level_3m,weather_disruption_score_3m,weather_data_status_3m,current_price,forecast_trajectory,multi_horizon_signal,weather_risk_level,weather_disruption_score,weather_data_status,suitability_status,profitability_status,decision_note
Bihar,Gaya,Onion,2026-09-01,3506.3645909846364,3395.7493497311825,3590.235135330261,1.7381389250735884,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-10-01,3414.0076483623825,3298.294700030722,3517.39154289006,-0.9416233230842178,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-11-01,3393.683822808672,3237.447833064516,3544.329979072581,-1.5313247457453736,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,3446.4603225806454,CONSISTENTLY_STABLE,MIXED,MODERATE,2,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Gaya,Potato,2026-09-01,1473.954011082244,1434.0077747311827,1507.7069252841784,-1.3603807901916716,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-10-01,1484.059067563088,1438.3412866666663,1536.525214285714,-0.6841324704546152,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-11-01,1534.7664851370384,1491.5541041788856,1589.0268704301077,2.709297937143167,RISING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,1494.281935483871,VARIABLE_TRAJECTORY,MIXED_WITH_UPWARD_SIGNALS,MODERATE,2,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Gaya,Rice,2026-09-01,3487.4242879690896,3442.1080395698923,3546.64817311828,-4.499722777475772,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-10-01,3329.011984394552,3239.4146524028965,3446.037731021505,-8.837714847731457,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-11-01,3220.36470260967,3159.8002468817203,3290.1021719354835,-11.81293227846523,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,3651.7425806451615,CONSISTENTLY_FALLING,CONSISTENTLY_FALLING,MODERATE,2,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Gaya,Tomato,2026-09-01,1672.5495218584138,1612.552032795699,1744.986174551971,-3.4900846499643507,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-10-01,1704.4887754329466,1616.228349247312,1816.6915973886328,-1.6471170017499714,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-11-01,1783.7973657816035,1726.1694888888892,1876.638403552228,2.929169225383622,RISING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,1733.033870967742,VARIABLE_TRAJECTORY,MIXED,MODERATE,2,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Gaya,Wheat,2026-09-01,3117.4337120959144,3082.6415155555555,3155.1265580645168,-4.3446046210990295,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-10-01,3091.1562391906664,3027.1340617511523,3138.678846344086,-5.150903100055276,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,2026-11-01,3125.480998740218,3087.9097174731182,3176.259117741936,-4.097681524482263,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,3259.0254838709675,CONSISTENTLY_FALLING,CONSISTENTLY_FALLING,MODERATE,2,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Muzaffarpur,Onion,2026-09-01,3250.145506352506,3213.892821505376,3280.548618375576,4.827128500890061,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-10-01,3394.0686826224205,3343.519650298685,3474.7950161761632,9.46909091876166,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-11-01,3464.106771948422,3409.097394504182,3532.2390202764977,11.728033410838908,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,3100.4812903225807,CONSISTENTLY_RISING,CONSISTENTLY_RISING,LOW,0,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Muzaffarpur,Potato,2026-09-01,1590.6724303427122,1553.161577419355,1620.044251280082,3.9874207968831663,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-10-01,1672.528632828048,1617.3204716845878,1712.269568404378,9.338626494742384,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-11-01,1774.8975246024988,1720.8012234677417,1811.5799037634408,16.030813284681848,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,1529.677741935484,CONSISTENTLY_RISING,CONSISTENTLY_RISING,LOW,0,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Muzaffarpur,Rice,2026-09-01,3045.36526579088,2979.6121841397853,3102.203600384025,2.4420630617982426,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-10-01,3159.9564909088267,3020.4640261648747,3251.634123870968,6.296760441362924,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-11-01,3427.927430038175,3347.679637480798,3507.0548984529296,15.310948707508016,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2972.7683870967744,CONSISTENTLY_RISING,CONSISTENTLY_RISING,LOW,0,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Muzaffarpur,Tomato,2026-09-01,1759.8192447384731,1725.5598555913978,1815.585930269965,4.6960032127715055,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-10-01,1829.756075883948,1745.2155230824376,1908.9053838709683,8.856718422694003,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-11-01,1950.6779538402343,1884.1936448924728,2006.9835529185868,16.050660278289026,RISING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,1680.8848387096775,CONSISTENTLY_RISING,CONSISTENTLY_RISING,LOW,0,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
Bihar,Muzaffarpur,Wheat,2026-09-01,3314.9125611462496,3268.111841182796,3394.682431599737,-5.502795223589295,FALLING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-10-01,3162.542631915447,3101.189892096774,3255.489101382489,-9.846358481653494,FALLING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,2026-11-01,3104.9342201456257,3022.6394444444445,3188.2345508448543,-11.488583965264503,FALLING,LOW,LOW,0,SYNTHETIC_DEMO_DATA,3507.947741935484,CONSISTENTLY_FALLING,CONSISTENTLY_FALLING,LOW,0,SYNTHETIC_DEMO_DATA,NOT_ASSESSED,NOT_ASSESSED,Market forecasts are shown separately from crop suitability and profitability. No crop ranking is created by this comparison.
