state,district,market,commodity,current_month,forecast_horizon_months,forecast_month,current_price,predicted_price,lower_bound,upper_bound,uncertainty_width,price_change_pct,market_signal
Bihar,Gaya,Gaya Market,Onion,2026-08-01,1,2026-09-01,3446.4603225806454,3506.3645909846364,3395.7493497311825,3590.235135330261,194.48578559907855,1.7381389250735884,STABLE
Bihar,Gaya,Gaya Market,Potato,2026-08-01,1,2026-09-01,1494.281935483871,1473.954011082244,1434.0077747311827,1507.7069252841784,73.69915055299566,-1.3603807901916716,STABLE
Bihar,Gaya,Gaya Market,Rice,2026-08-01,1,2026-09-01,3651.7425806451615,3487.4242879690896,3442.1080395698923,3546.64817311828,104.54013354838753,-4.499722777475772,FALLING
Bihar,Gaya,Gaya Market,Tomato,2026-08-01,1,2026-09-01,1733.033870967742,1672.5495218584138,1612.552032795699,1744.9861745519713,132.4341417562723,-3.4900846499643507,FALLING
Bihar,Gaya,Gaya Market,Wheat,2026-08-01,1,2026-09-01,3259.0254838709675,3117.4337120959144,3082.6415155555555,3155.1265580645168,72.48504250896121,-4.3446046210990295,FALLING
Bihar,Muzaffarpur,Muzaffarpur Market,Onion,2026-08-01,1,2026-09-01,3100.4812903225807,3250.145506352506,3213.892821505376,3280.548618375576,66.65579687019999,4.827128500890061,RISING
Bihar,Muzaffarpur,Muzaffarpur Market,Potato,2026-08-01,1,2026-09-01,1529.677741935484,1590.6724303427122,1553.161577419355,1620.0442512800819,66.88267386072698,3.9874207968831663,RISING
Bihar,Muzaffarpur,Muzaffarpur Market,Rice,2026-08-01,1,2026-09-01,2972.7683870967744,3045.3652657908797,2979.6121841397853,3102.203600384025,122.59141624423955,2.4420630617982275,RISING
Bihar,Muzaffarpur,Muzaffarpur Market,Tomato,2026-08-01,1,2026-09-01,1680.8848387096775,1759.8192447384731,1725.5598555913978,1815.585930269965,90.02607467856728,4.6960032127715055,RISING
Bihar,Muzaffarpur,Muzaffarpur Market,Wheat,2026-08-01,1,2026-09-01,3507.947741935484,3314.9125611462496,3268.111841182796,3394.682431599737,126.57059041694083,-5.5027952235892945,FALLING
Bihar,Patna City,Patna City Market,Onion,2026-08-01,1,2026-09-01,3182.2125806451613,3276.6900665926187,3237.7660381720434,3314.0138669124426,76.2478287403992,2.968924405682005,RISING
Bihar,Patna City,Patna City Market,Potato,2026-08-01,1,2026-09-01,1794.5729032258066,1759.8407993124863,1706.497393924731,1839.3762981182792,132.87890419354812,-1.9353966534816258,STABLE
Bihar,Patna City,Patna City Market,Rice,2026-08-01,1,2026-09-01,3834.096129032258,3763.0680244175733,3712.31784762603,3818.3134491935484,105.9956015675184,-1.8525384399428844,STABLE
Bihar,Patna City,Patna City Market,Tomato,2026-08-01,1,2026-09-01,2136.7748387096776,2039.3104836484247,2001.6046854838712,2107.8485916129034,106.24390612903221,-4.561283355438058,FALLING
Bihar,Patna City,Patna City Market,Wheat,2026-08-01,1,2026-09-01,3143.7419354838707,3183.790245938336,3112.274167419355,3250.379045698925,138.10487827957013,1.273905787317782,STABLE
Jharkhand,Dhanbad,Dhanbad Market,Onion,2026-08-01,1,2026-09-01,3211.674193548387,3297.1417146261697,3227.353826344086,3357.1729561290326,129.81912978494665,2.6611516588285937,RISING
Jharkhand,Dhanbad,Dhanbad Market,Potato,2026-08-01,1,2026-09-01,1805.4212903225805,1716.0150141245385,1691.8102362903223,1749.1555751440094,57.34533885368705,-4.952100469695217,FALLING
Jharkhand,Dhanbad,Dhanbad Market,Rice,2026-08-01,1,2026-09-01,3546.389677419355,3591.084221036537,3535.872129185868,3678.895887557604,143.02375837173622,1.2602829266553046,STABLE
Jharkhand,Dhanbad,Dhanbad Market,Tomato,2026-08-01,1,2026-09-01,2054.6167741935483,2122.219612111548,2083.0491836661545,2179.661234767025,96.6120511008703,3.2902893993228663,RISING
Jharkhand,Dhanbad,Dhanbad Market,Wheat,2026-08-01,1,2026-09-01,3361.419032258065,3475.9065210487975,3429.687137781036,3517.2387398725655,87.55160209152928,3.405927309033667,RISING
Jharkhand,Jamshedpur,Jamshedpur Market,Onion,2026-08-01,1,2026-09-01,2985.169032258065,2910.329725118361,2855.883414784946,2959.066641251222,103.18322646627576,-2.5070375020972766,FALLING
Jharkhand,Jamshedpur,Jamshedpur Market,Potato,2026-08-01,1,2026-09-01,1573.6029032258066,1517.1804951243553,1486.292603686636,1555.5648846953407,69.27228100870457,-3.585555668827772,FALLING
Jharkhand,Jamshedpur,Jamshedpur Market,Rice,2026-08-01,1,2026-09-01,3284.445806451613,3438.3445363136907,3380.1511372247824,3495.948151438106,115.79701421332356,4.685683336889761,RISING
Jharkhand,Jamshedpur,Jamshedpur Market,Tomato,2026-08-01,1,2026-09-01,2066.0709677419354,2132.6224203420993,2093.305732019116,2172.8062503225806,79.50051830346456,3.2211600491584154,RISING
Jharkhand,Jamshedpur,Jamshedpur Market,Wheat,2026-08-01,1,2026-09-01,3126.059677419355,3257.3747463147606,3198.414708736559,3318.205679922136,119.79097118557684,4.200657775151934,RISING
Jharkhand,Ranchi,Ranchi Market,Onion,2026-08-01,1,2026-09-01,3204.0106451612905,3332.9149727362114,3296.232047715054,3381.084444560816,84.85239684576209,4.0232178307395055,RISING
Jharkhand,Ranchi,Ranchi Market,Potato,2026-08-01,1,2026-09-01,1445.6093548387096,1442.311400991455,1425.5861158064517,1461.654028870968,36.06791306451623,-0.22813589551117264,STABLE
Jharkhand,Ranchi,Ranchi Market,Rice,2026-08-01,1,2026-09-01,3673.556129032258,3704.279418020901,3633.1129477419354,3763.146598709678,130.0336509677427,0.8363364519146939,STABLE
Jharkhand,Ranchi,Ranchi Market,Tomato,2026-08-01,1,2026-09-01,1601.7548387096774,1624.0135999335885,1584.6882930645163,1657.9259327956993,73.23763973118298,1.389648445940828,STABLE
Jharkhand,Ranchi,Ranchi Market,Wheat,2026-08-01,1,2026-09-01,3725.158064516129,3779.368579911572,3756.3357941756276,3808.176275403226,51.8404812275985,1.4552540981233397,STABLE
Uttar Pradesh,Kanpur,Kanpur Market,Onion,2026-08-01,1,2026-09-01,3035.7767741935486,2955.4024327407324,2877.24482296467,3034.258077419355,157.01325445468456,-2.6475708667402795,FALLING
Uttar Pradesh,Kanpur,Kanpur Market,Potato,2026-08-01,1,2026-09-01,1583.9135483870969,1628.6640811493517,1584.4298688172046,1666.9077208406168,82.4778520234122,2.8253140967083956,RISING
Uttar Pradesh,Kanpur,Kanpur Market,Rice,2026-08-01,1,2026-09-01,3803.744516129033,3772.536009786926,3751.977097311828,3794.597766619593,42.62066930776518,-0.820467994361169,STABLE
