state,district,commodity,forecast_horizon_months,forecast_month,current_price,predicted_price,lower_bound,upper_bound,price_change_pct,market_signal,uncertainty_level,weather_risk_level,weather_disruption_score,weather_data_status,market_insight,uncertainty_insight,weather_insight,planning_context,farmer_insight,decision_warning,recommendation_status,market_data_status,forecast_data_status,explainability_status
Bihar,Gaya,Onion,1,2026-09-01,3446.4603225806454,3506.3645909846364,3395.7493497311825,3590.235135330261,1.7381389250735884,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,"Onion is forecast to remain relatively stable, with an estimated change of +1.7%.","The estimated price range is ₹3,396 to ₹3,590. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,The forecast indicates a relatively stable market signal. Use the uncertainty range for planning.,"Onion is forecast to remain relatively stable, with an estimated change of +1.7%. The estimated price range is ₹3,396 to ₹3,590. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Onion,2,2026-10-01,3446.4603225806454,3414.0076483623825,3298.294700030722,3517.39154289006,-0.9416233230842178,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,"Onion is forecast to remain relatively stable, with an estimated change of -0.9%.","The estimated price range is ₹3,298 to ₹3,517. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,The forecast indicates a relatively stable market signal. Use the uncertainty range for planning.,"Onion is forecast to remain relatively stable, with an estimated change of -0.9%. The estimated price range is ₹3,298 to ₹3,517. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Onion,3,2026-11-01,3446.4603225806454,3393.683822808672,3237.447833064516,3544.329979072581,-1.5313247457453736,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,"Onion is forecast to remain relatively stable, with an estimated change of -1.5%.","The estimated price range is ₹3,237 to ₹3,544. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,The forecast indicates a relatively stable market signal. Use the uncertainty range for planning.,"Onion is forecast to remain relatively stable, with an estimated change of -1.5%. The estimated price range is ₹3,237 to ₹3,544. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Potato,1,2026-09-01,1494.281935483871,1473.954011082244,1434.0077747311827,1507.7069252841784,-1.3603807901916716,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,"Potato is forecast to remain relatively stable, with an estimated change of -1.4%.","The estimated price range is ₹1,434 to ₹1,508. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,The forecast indicates a relatively stable market signal. Use the uncertainty range for planning.,"Potato is forecast to remain relatively stable, with an estimated change of -1.4%. The estimated price range is ₹1,434 to ₹1,508. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Potato,2,2026-10-01,1494.281935483871,1484.059067563088,1438.3412866666663,1536.525214285714,-0.6841324704546152,STABLE,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,"Potato is forecast to remain relatively stable, with an estimated change of -0.7%.","The estimated price range is ₹1,438 to ₹1,537. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,The forecast indicates a relatively stable market signal. Use the uncertainty range for planning.,"Potato is forecast to remain relatively stable, with an estimated change of -0.7%. The estimated price range is ₹1,438 to ₹1,537. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Potato,3,2026-11-01,1494.281935483871,1534.7664851370384,1491.5541041788856,1589.0268704301077,2.709297937143167,RISING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Potato is forecast to increase by 2.7% over the selected horizon.,"The estimated price range is ₹1,492 to ₹1,589. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates an upward market signal, but the uncertainty range should still be considered.","Potato is forecast to increase by 2.7% over the selected horizon. The estimated price range is ₹1,492 to ₹1,589. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Rice,1,2026-09-01,3651.7425806451615,3487.4242879690896,3442.1080395698923,3546.64817311828,-4.499722777475772,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Rice is forecast to decrease by 4.5% over the selected horizon.,"The estimated price range is ₹3,442 to ₹3,547. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Rice is forecast to decrease by 4.5% over the selected horizon. The estimated price range is ₹3,442 to ₹3,547. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Rice,2,2026-10-01,3651.7425806451615,3329.011984394552,3239.4146524028965,3446.037731021505,-8.837714847731457,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Rice is forecast to decrease by 8.8% over the selected horizon.,"The estimated price range is ₹3,239 to ₹3,446. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Rice is forecast to decrease by 8.8% over the selected horizon. The estimated price range is ₹3,239 to ₹3,446. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Rice,3,2026-11-01,3651.7425806451615,3220.36470260967,3159.8002468817203,3290.1021719354835,-11.81293227846523,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Rice is forecast to decrease by 11.8% over the selected horizon.,"The estimated price range is ₹3,160 to ₹3,290. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Rice is forecast to decrease by 11.8% over the selected horizon. The estimated price range is ₹3,160 to ₹3,290. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
Bihar,Gaya,Tomato,1,2026-09-01,1733.033870967742,1672.5495218584138,1612.552032795699,1744.986174551971,-3.4900846499643507,FALLING,LOW,MODERATE,2,SYNTHETIC_DEMO_DATA,Tomato is forecast to decrease by 3.5% over the selected horizon.,"The estimated price range is ₹1,613 to ₹1,745. Uncertainty level: LOW.",Moderate weather-disruption signal is present. Weather conditions should be monitored.,"The forecast indicates a downward market signal, so alternative market scenarios should be considered.","Tomato is forecast to decrease by 3.5% over the selected horizon. The estimated price range is ₹1,613 to ₹1,745. Uncertainty level: LOW. Moderate weather-disruption signal is present. Weather conditions should be monitored.","This is decision-support information, not a guarantee of future price, yield, revenue, or profit.",INFORMATIONAL_DECISION_SUPPORT,SYNTHETIC_DEMO_DATA,MODEL_FORECAST_DEMO,RULE_BASED_EXPLANATION
