state,district,market,commodity,month,avg_min_price,avg_max_price,avg_modal_price,min_modal_price,max_modal_price,median_modal_price,std_modal_price,observation_count
Bihar,Gaya,Gaya Market,Onion,2023-01-01,2912.5525806451615,3316.1335483870967,3098.6600000000003,2880.06,3297.9,3103.47,108.3671810097503,31
Bihar,Gaya,Gaya Market,Onion,2023-02-01,2836.7914285714287,3214.776785714286,3031.992142857143,2836.62,3182.51,3029.5,67.69331009985504,28
Bihar,Gaya,Gaya Market,Onion,2023-03-01,2837.31,3198.834516129032,3012.452258064516,2914.36,3192.03,3019.25,70.66827683903045,31
Bihar,Gaya,Gaya Market,Onion,2023-04-01,2803.5466666666666,3212.9086666666667,3028.4950000000003,2865.15,3159.96,3056.385,82.14332485945235,30
Bihar,Gaya,Gaya Market,Onion,2023-05-01,2914.4306451612906,3279.8219354838707,3091.243548387097,2917.85,3286.56,3110.63,93.02691569463097,31
Bihar,Gaya,Gaya Market,Onion,2023-06-01,3014.315,3430.6730000000002,3213.436,2991.96,3394.33,3214.29,115.22636182449884,30
Bihar,Gaya,Gaya Market,Onion,2023-07-01,3109.16064516129,3502.131935483871,3300.8793548387093,3132.95,3457.91,3302.75,80.41426009257655,31
Bihar,Gaya,Gaya Market,Onion,2023-08-01,3205.0370967741933,3642.3070967741937,3428.0787096774193,3278.86,3564.91,3430.18,77.86085549414128,31
Bihar,Gaya,Gaya Market,Onion,2023-09-01,3204.125666666667,3641.3643333333334,3422.1953333333336,3259.36,3607.92,3415.755,77.9443294141151,30
Bihar,Gaya,Gaya Market,Onion,2023-10-01,3181.6177419354835,3634.0154838709677,3403.452258064516,3248.27,3565.57,3402.07,85.88420781143557,31
Bihar,Gaya,Gaya Market,Onion,2023-11-01,3122.5623333333333,3562.4603333333334,3348.254,3173.91,3538.41,3343.59,95.7732597696066,30
Bihar,Gaya,Gaya Market,Onion,2023-12-01,3026.476129032258,3430.0641935483873,3223.0567741935483,3084.82,3383.38,3214.76,80.4527952440477,31
Bihar,Gaya,Gaya Market,Onion,2024-01-01,2937.2729032258067,3333.8632258064513,3120.6483870967745,2864.33,3288.48,3137.84,102.22644896166464,31
Bihar,Gaya,Gaya Market,Onion,2024-02-01,2868.051724137931,3251.7696551724134,3044.343793103448,2886.45,3162.83,3042.43,68.44618920905224,29
Bihar,Gaya,Gaya Market,Onion,2024-03-01,2820.7380645161293,3200.5587096774198,3014.836129032258,2841.75,3165.87,3015.55,90.31070813871489,31
Bihar,Gaya,Gaya Market,Onion,2024-04-01,2839.05,3247.6496666666667,3065.3456666666666,2905.79,3357.87,3046.1049999999996,95.65873447090296,30
Bihar,Gaya,Gaya Market,Onion,2024-05-01,2898.840322580645,3308.9583870967745,3110.609032258065,2888.78,3322.23,3123.6,102.86601399733006,31
Bihar,Gaya,Gaya Market,Onion,2024-06-01,3017.3803333333335,3446.779,3230.8866666666668,3024.87,3393.34,3237.395,97.48584379400882,30
Bihar,Gaya,Gaya Market,Onion,2024-07-01,3155.097741935484,3556.71935483871,3341.687096774194,3161.05,3476.88,3360.49,86.75734824568848,31
Bihar,Gaya,Gaya Market,Onion,2024-08-01,3208.837419354839,3642.374838709677,3432.397419354839,3245.93,3618.58,3425.93,76.39342711550259,31
Bihar,Gaya,Gaya Market,Onion,2024-09-01,3198.7823333333336,3691.6196666666665,3444.636,3223.64,3603.43,3444.165,88.78015154068055,30
Bihar,Gaya,Gaya Market,Onion,2024-10-01,3199.106451612903,3645.4025806451614,3426.686774193548,3215.9,3568.63,3426.79,78.71929485571277,31
Bihar,Gaya,Gaya Market,Onion,2024-11-01,3089.7046666666665,3535.2196666666664,3316.089,3074.29,3511.21,3322.9700000000003,101.09373026536086,30
Bihar,Gaya,Gaya Market,Onion,2024-12-01,3013.715483870968,3435.529677419355,3220.404516129032,3058.43,3356.9,3238.06,85.30130060902601,31
Bihar,Gaya,Gaya Market,Onion,2025-01-01,2916.1974193548385,3332.1306451612904,3119.14,2879.49,3231.53,3113.8,74.45685739630262,31
Bihar,Gaya,Gaya Market,Onion,2025-02-01,2848.98,3246.9614285714283,3049.16,2921.27,3227.31,3055.6,76.45038575103116,28
Bihar,Gaya,Gaya Market,Onion,2025-03-01,2811.1341935483874,3222.952903225806,3020.8167741935486,2887.44,3186.63,3023.38,81.36531949125484,31
Bihar,Gaya,Gaya Market,Onion,2025-04-01,2832.471,3251.2346666666663,3037.8559999999998,2852.86,3177.37,3034.24,86.1549044614327,30
Bihar,Gaya,Gaya Market,Onion,2025-05-01,2927.894516129032,3334.521935483871,3123.174193548387,3000.19,3281.24,3134.51,69.54575001508921,31
Bihar,Gaya,Gaya Market,Onion,2025-06-01,3017.5443333333333,3455.387,3237.726,3029.71,3499.16,3213.255,106.3134634676285,30
