state,district,commodity,scenario,farmer_acres,scenario_price_inr_per_quintal,baseline_yield_per_acre_quintal,scenario_yield_per_acre_quintal,total_yield_quintal,baseline_cost_per_acre_inr,scenario_cost_per_acre_inr,total_cost_inr,revenue_inr,gross_margin_inr,gross_margin_per_acre_inr,break_even_price_inr_per_quintal,scenario_assumption,assumption_status,profit_guarantee_status,scenario_source
Bihar,Gaya,Onion,DOWNSIDE,2.0,3395.7493497311825,60,54.0,108.0,40000,44000.0,88000.0,366740.9297709677,278740.9297709677,139370.46488548385,814.8148148148148,"Lower modeled price, 10% lower yield, and 10% higher cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Onion,EXPECTED,2.0,3506.3645909846364,60,60.0,120.0,40000,40000.0,80000.0,420763.75091815635,340763.75091815635,170381.87545907818,666.6666666666666,ML forecast price with baseline demo yield and cost assumptions.,SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Onion,UPSIDE,2.0,3590.235135330261,60,63.0,126.0,40000,38000.0,76000.0,452369.6270516129,376369.6270516129,188184.81352580644,603.1746031746031,"Upper modeled price, 5% higher yield, and 5% lower cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Potato,DOWNSIDE,2.0,1434.0077747311827,80,72.0,144.0,50000,55000.00000000001,110000.00000000001,206497.1195612903,96497.1195612903,48248.55978064515,763.888888888889,"Lower modeled price, 10% lower yield, and 10% higher cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Potato,EXPECTED,2.0,1473.954011082244,80,80.0,160.0,50000,50000.0,100000.0,235832.64177315903,135832.64177315903,67916.32088657952,625.0,ML forecast price with baseline demo yield and cost assumptions.,SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Potato,UPSIDE,2.0,1507.7069252841784,80,84.0,168.0,50000,47500.0,95000.0,253294.76344774198,158294.76344774198,79147.38172387099,565.4761904761905,"Upper modeled price, 5% higher yield, and 5% lower cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Rice,DOWNSIDE,2.0,3442.1080395698923,22,19.8,39.6,28000,30800.000000000004,61600.00000000001,136307.47836696773,74707.47836696773,37353.73918348386,1555.5555555555557,"Lower modeled price, 10% lower yield, and 10% higher cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Rice,EXPECTED,2.0,3487.4242879690896,22,22.0,44.0,28000,28000.0,56000.0,153446.66867063995,97446.66867063995,48723.334335319974,1272.7272727272727,ML forecast price with baseline demo yield and cost assumptions.,SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Rice,UPSIDE,2.0,3546.64817311828,22,23.1,46.2,28000,26600.0,53200.0,163855.14559806453,110655.14559806453,55327.57279903226,1151.5151515151515,"Upper modeled price, 5% higher yield, and 5% lower cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
Bihar,Gaya,Tomato,DOWNSIDE,2.0,1612.552032795699,70,63.0,126.0,45000,49500.00000000001,99000.00000000001,203181.55613225806,104181.55613225805,52090.77806612902,785.7142857142858,"Lower modeled price, 10% lower yield, and 10% higher cost.",SYNTHETIC_DEMO_ASSUMPTION,NOT_GUARANTEED,AGRIPULSE_SCENARIO_CALCULATION
